Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Pronation for Running Shoes,Arch Type,Cushioning,Running Type,Distance,Surface Type,Number of Items,Package Contains,Warranty,Technology
max,Girls Textured Lace-Up Running Shoes,₹479,MRP ₹799,(40% OFF),3.9,19 Ratings,"A pair of peach-coloured textured running shoes, has regular Styling, lace-ups detail
PU upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,
BIRDE,Boys Mesh Running Advanced Chassis Sports Shoes,₹599,MRP ₹999,(Rs. 400 OFF),3.8,14 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Flat,Medium,,,All-Rounder,2,,,Advanced Chassis
BAESD,Boys HUNTER LED Anti-Skid Sole Waterproof Velcro Walking Shoes,₹499,MRP ₹999,(50% OFF),4,8 Ratings,"A pair of navy blue and red walking shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole

Features:
LED 
Anti-Skid Sole
Waterproof ",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,Road Running,,Outdoor,2,1 pair of shoes,,
BAESD,Kids Mesh Walking Shoes,₹441,MRP ₹1299,(66% OFF),4,9 Ratings,"A pair of grey shoes, has mid-top Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Mid-Top,Marking,No Cleats,,Medium,Medium,Road Running,,Soft,2,1 pair of shoes,,
ABROS,Boys Air Mesh Running Shoes,₹575,MRP ₹599,(4% OFF),3.9,25 Ratings,"A pair of shoes, has regular Styling, lace-ups detail
Upper mesh 
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,,,30 days,Air
BIRDE,Boys Non-Marking Walking Sports Shoes,₹599,MRP ₹999,(Rs. 400 OFF),4,82 Ratings,"A pair of grey & white sports shoes, has regular Styling, slip-on detail
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Regular,Non-Marking,No Cleats,,Medium,Medium,,,Soft,,,,
BAESD,Kids FLYNET Walking Shoes,₹389,MRP ₹1299,(70% OFF),3.6,7 Ratings,"A pair of red, black shoes, has mid-top styling, slip-on detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Slip-On,Mid-Top,Marking,No Cleats,,Medium,Medium,Road Running,,Soft,2,,,
BIRDE,Boys Mesh Running Advanced Chassis Sports Shoes,₹599,MRP ₹999,(Rs. 400 OFF),3.8,14 Ratings,"A pair of grey shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Flat,Medium,,,All-Rounder,2,,,Advanced Chassis
BAESD,Boys HUNTER LED Anti-Skid Sole Waterproof Velcro Walking Shoes,₹499,MRP ₹999,(50% OFF),3.7,11 Ratings,"A pair of navy blue walking shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole

Features:
LED 
Anti-Skid Sole
Waterproof ",Walking,Mesh,Velcro,Regular,Marking,No Cleats,,Medium,Medium,Road Running,,Outdoor,2,1 pair of shoes,,
ABROS,Kids Rock Walking Sports Shoes,₹507,MRP ₹529,(4% OFF),4.1,95 Ratings,"A pair of navy blue shoes, has mid-top Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Velcro,Mid-Top,Marking,No Cleats,Neutral,High,High,Track,Medium,All-Rounder,2,,30 days,Air
Puma,Kids ULTRA PLAY FG/AG Youth Football Boots,₹3374,MRP ₹4499,(25% OFF),3.9,14 Ratings,"PRODUCT DESIGN DETAILS:
Closure: Lace-Up
Midsole drop: Regular
Main materials: Synthetic, Rubber
Product color: Pink, Black
Warranty: 3 Months
Warranty provided by Brand Owner/Manufacturer
ABOUT THE PRODUCT:
Just when they think you couldnt get any faster you do. the ultra play jr features a lightweight yet durable synthetic upper enhanced with deboss and print details fused to a tpu speedplate outsole that ensures optimal traction and propulsion. Ultra is too fast for them.",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,Hard,2,1 pair of sports shoes,3 months,
BIRDE,Boys Textured Slip-On Walking Shoes,₹599,MRP ₹999,(Rs. 400 OFF),4,31 Ratings,"A pair of grey and red walking shoes, has regular styling, slip on  detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Slip-On,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,,Memory Foam
ABROS,Kids Leo Walking Sports Shoes,₹507,MRP ₹529,(4% OFF),4.2,32 Ratings,"A pair of navy blue shoes
has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Walking,Mesh,Lace-Ups,Mid-Top,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
Liberty,Kids ETHAN Mesh Running Shoes,₹900,MRP ₹1699,(47% OFF),4.4,52 Ratings,"A pair of teal blue ,white & yellow shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned EVA outsole
Warranty: 7 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,,7 days,
ABROS,Boys Running Shoes,₹1319,MRP ₹1499,(12% OFF),4.6,53 Ratings,"A pair of white running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Road Running,Medium,Outdoor,2,1 pair of shoes,14 days,Memory Foam
Liberty,Kids NITKID Velcro Running Shoes,₹917,MRP ₹1799,(49% OFF),4.2,281 Ratings,"A pair of navy blue,white and fluorescent green running shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 7 days
Warranty provided by brand/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,,7 days,
Liberty,Kids NITKID Mesh Running Shoes,₹917,MRP ₹1799,(49% OFF),4.2,286 Ratings,"A pair of peach-coloured , white & blue running shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned EVA outsole
Warranty: 7 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,,7 days,
Liberty,Unisex Kids Blue Mesh Running Non-Marking Shoes,₹1000,MRP ₹1299,(23% OFF),4.6,107 Ratings,"A pair of blue running shoes, has regular Styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Mesh,Velcro,Regular,Non-Marking,No Cleats,,Medium,Medium,Long Distance,,All-Rounder,,,,
Sparx,Boys Mesh Running Lace-Up Shoes,₹934,MRP ₹1099,(15% OFF),4.3,117 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,Air
ABROS,Boys Ai 2 N Kids Running Sports Shoes,₹965,MRP ₹1049,(8% OFF),4.1,296 Ratings,"A pair of navy blue running shoes, has mid-top Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Mid-Top,Marking,Fixed,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
TARMAK By Decathlon,Kids Black Mid-Top Basketball Shoes,₹1663,MRP ₹1899,(Rs. 236 OFF),4.3,139 Ratings,"A pair of black basketball sports shoes, has mid-top styling, lace-up detail
PU upper
Cushioned footbed
Textured and patterned outsole
Warranty: 2 years
Warranty provided by brand/manufacturer",Basketball,PU,Lace-Ups,Mid-Top,Non-Marking,No Cleats,,,High,,Short,Court,,,2 years,
Liberty,Kids ETHAN Velcro Running Shoes,₹900,MRP ₹1699,(47% OFF),4.3,113 Ratings,"A pair of teal blue,yellow and white running shoes, has regular styling, velcro detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 7 days
Warranty provided by brand/manufacturer",Running,Mesh,Velcro,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Long,All-Rounder,2,,7 days,
TARMAK By Decathlon,Kids Unisex Blue & Yellow Basketball Shoes,₹2175,MRP ₹2499,(Rs. 324 OFF),4.7,6 Ratings,"A pair of blue and yellow basketball sports shoes, has high-top styling, lace-up detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole

Warranty: 2 years
Warranty provided by brand/manufacturer",Basketball,Synthetic,Velcro,Regular,Non-Marking,No Cleats,,Flat,High,Trail Running,Medium,Indoor,,,2 years,
ABROS,Boys Magic Running Sports Shoes,₹1334,MRP ₹1499,(11% OFF),4.2,62 Ratings,"A pair of navy blue running shoes, has mid-top Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Mid-Top,Marking,Fixed,Neutral,Medium,High,Road Running,Medium,All-Rounder,2,,3 months,Air
ABROS,Boys Mesh Running Non-Marking Shoes,₹789,MRP ₹849,(7% OFF),4.3,6 Ratings,"A pair of grey shoes, has mid-top Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Velcro,Mid-Top,Non-Marking,No Cleats,Neutral,Medium,High,Road Running,Medium,Court,2,footwear,30 days,Memory Foam
ASIAN,Boys Mesh Running Sports Shoes,₹839,MRP ₹1399,(40% OFF),4.7,12 Ratings,"A pair of grey shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer ",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Track,,All-Rounder,1,,28 days,
ASIAN,Boys Vayu-09 Running Shoes,₹791,MRP ₹1099,(28% OFF),4.2,263 Ratings,"A pair of white,grey and black sports shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,2,,28 days,
plaeto,Kids Aspire Multiplay School Shoes,₹1614,MRP ₹1699,(Rs. 85 OFF),4.4,21 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 year
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,,,All-Rounder,2,1 pair of shoe,1 year,
plaeto,Kids Aspire Multiplay School Shoes,₹1234,MRP ₹1299,(Rs. 65 OFF),4.9,14 Ratings,"A pair of black shoes, has regular Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 year",Running,Mesh,Velcro,Regular,Non-Marking,No Cleats,,,Medium,,,All-Rounder,2,1 pair of shoe,1 year,
Quechua By Decathlon,Kids Navy Blue Textile Trekking MH100 Non-Marking Shoes,₹1279,MRP ₹1499,(Rs. 220 OFF),4.2,15 Ratings,"A pair of navy blue trekking shoes, has regular Styling, velcro detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Warranty: 2 years
Warranty provided by brand/manufacturer",Trekking,Textile,Velcro,Regular,Non-Marking,No Cleats,,Medium,High,Trail Running,Medium,Outdoor,,,2 years,
max,Boys Colourblocked Running Shoes,₹659,MRP ₹1099,(40% OFF),4.5,29 Ratings,"A pair of beige, black & green  shoes, has regular styling, lace- up detail
PU upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,
ABROS,Boys Black & Fluorescent Mesh Running Shoes With Air Technology,₹965,MRP ₹1049,(8% OFF),4.1,297 Ratings,"A pair of black running shoes, has mid-top Styling, lace-ups detail
With Air Technology
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Mid-Top,Marking,Fixed,Neutral,Medium,High,Track,Medium,All-Rounder,,,30 days,Air
TRASE,Boys Grey & Red Running Shoes,₹899,MRP ₹1499,(40% OFF),4.1,167 Ratings,"A pair of grey, red, and white running sports shoes, has regular styling, velcro detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Synthetic,Velcro,Regular,Marking,No Cleats,,Flat,Medium,Road Running,,Outdoor,,,30 days,
ABROS,Boys Tango Running Sports Shoes,₹965,MRP ₹1049,(8% OFF),4.5,39 Ratings,"A pair of mustard running shoes, has mid-top Styling, lace-ups detail
Mesh upper
With Air Technology
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Mid-Top,Marking,Fixed,Neutral,Medium,High,Track,Medium,All-Rounder,2,,30 days,Air
max,Boys PU Lace-Ups Running Shoes,₹809,MRP ₹899,(10% OFF),4.4,34 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:NA
Warranty provided by brand owner/manufacturer",Running,PU,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,One,,
ASIAN,Boys Mesh Memory Foam Running Non-Marking Shoes,₹959,MRP ₹1599,(40% OFF),3.9,88 Ratings,"A pair of shoes, has regular Styling, lace-ups detail
Upper Mesh 
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,Memory Foam
ASIAN,Boys Mesh Memory Foam Running Non-Marking Shoes,₹959,MRP ₹1599,(40% OFF),3.9,88 Ratings,"A pair of shoes, has regular Styling, lace-ups detail
Upper Mesh 
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,Memory Foam
ABROS,Boys Oscar Running Sports Shoes,₹1029,MRP ₹1119,(8% OFF),4.5,31 Ratings,"A pair of black shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Trail Running,Medium,All-Rounder,2,,30 days,Air
Action,Kids Lightweight Mesh Running Shoes,₹854,MRP ₹1899,(55% OFF),4.5,13 Ratings,"A pair of grey , white & blue shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Lightweight technology",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Long Distance,Medium,Outdoor,2,,,
ASIAN,Boys Mesh Running Sports Shoes,₹835,MRP ₹1099,(24% OFF),4.3,31 Ratings,"A pair of grey shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Track,,All-Rounder,2,,28 days,
BERSACHE,Boys Running Non-Marking Sports Shoes,₹719,MRP ₹3999,(Rs. 3280 OFF),3.4,5 Ratings,"A pair of blue shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Canvas,Lace-Ups,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,2,package contains,,
Pantaloons Junior,Girls Textile Running Sports Shoes,₹749,MRP ₹999,(25% OFF),3.7,23 Ratings,"A pair of pink sports shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole",Running,Textile,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Outdoor,,,,
ABROS,Boys Air Technology Running Sports Shoes,₹1423,MRP ₹1599,(11% OFF),4.1,68 Ratings,"A pair of black & red running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Air Technology
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,,,30 days,Air
ABROS,Boys Magic Running Sports Shoes,₹1334,MRP ₹1499,(11% OFF),4.2,61 Ratings,"A pair of black running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months",Running,Mesh,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,High,Road Running,Medium,All-Rounder,2,,3 months,Air
Sparx,Kids Lightweight Mesh Running Shoes,₹1304,MRP ₹1449,(10% OFF),4.7,11 Ratings,"A pair of olive green , white & yellow running shoes, has regular styling, Lace- up detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Lightweight technology",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,,,
ASIAN,Boys Mesh Memory Foam Running Non-Marking Shoes,₹797,MRP ₹1049,(24% OFF),4,176 Ratings,"A pair of shoes, has regular Styling, lace-ups detail
Upper Mesh 
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Neutral,,High,Road Running,,All-Rounder,,,28 days,Memory Foam
Sparx,Boys Mesh Walking Shoes,₹1304,MRP ₹1449,(10% OFF),4.7,11 Ratings,"A pair of navy blue shoes, has regular Styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,,,Medium,,,All-Rounder,2,1 pair,,
ABROS,Boys Winston-N Walking Shoes,₹1029,MRP ₹1119,(8% OFF),4.3,60 Ratings,"A pair of black and orange winston-n walking shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Walking,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,Medium,Track,Medium,All-Rounder,2,,30 days,
Action,Kids Mesh Running Non-Marking Sports Shoes,₹1333,MRP ₹2299,(42% OFF),4.4,38 Ratings,"A pair of black running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Long Distance,Medium,Outdoor,,,,Air Max
Pantaloons Junior,Boys Black And Blue Running Non-Marking Running Shoes,₹803,MRP ₹1199,(33% OFF),3.9,29 Ratings,"A pair of blue shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Lace-Ups,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
OFF LIMITS,Girls Mesh Running Non-Marking Shoes,₹1494,MRP ₹2299,(35% OFF),3.9,11 Ratings,"A pair of grey shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Track,Long,Indoor,2,,30 days,
OFF LIMITS,Girls Mesh Running Non-Marking Lace-Up Shoes,₹1494,MRP ₹2299,(35% OFF),4.7,12 Ratings,"A pair of white shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,,Medium,Medium,Track,Long,Indoor,2,,30 days,
ABROS,Boys RANGER Mesh Marking Running Shoes,₹1423,MRP ₹1599,(11% OFF),4.1,68 Ratings,"A pair of navy blue running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Medium,High,Track,Medium,All-Rounder,,,,Air
JQR,Boy NINJA l-EVA Technology Lace-Up Running Shoes,₹736,MRP ₹1099,(33% OFF),4.6,5 Ratings,"A pair of grey,black and red l-EVA technology lace-up running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,High,Road Running,Medium,Outdoor,2,,30 days,l-EVA
Power,Boys Hexa Printed Lace-Up Walking Shoes,₹1444,MRP ₹1699,(15% OFF),4.3,6 Ratings,"A pair of teal blue,black and orange sports shoes, has regular styling, lace-ups detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Walking,Textile,Lace-Ups,Regular,Marking,Fixed,Neutral,Medium,Medium,Track,Medium,Outdoor,2,,,
OFF LIMITS,Girls Mesh Walking Non-Marking Shoes,₹1479,MRP ₹1999,(26% OFF),3.9,26 Ratings,"A pair of grey shoes, has regular Styling, slip-on detail
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Walking,Mesh,Slip-On,Regular,Non-Marking,No Cleats,,Medium,Medium,Track,Long,Indoor,2,,30 days,
Pantaloons Junior,Girls Coral Textile Running Non-Marking Sports Shoes,₹959,MRP ₹1199,(20% OFF),4.2,22 Ratings,"A pair of coral shoes, has mid-top Styling, velcro detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,Textile,Velcro,Mid-Top,Non-Marking,No Cleats,,,Medium,,Medium,Outdoor,,,,
Pantaloons Junior,Girls White Running Non-Marking Shoes,₹749,MRP ₹999,(25% OFF),4.3,23 Ratings,"A pair of white shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:",Running,PU,Slip-On,Regular,Non-Marking,No Cleats,,,Medium,,,Outdoor,,,,
Puma,Kruz Profoam Youth Sports Shoes,₹2474,MRP ₹4499,(45% OFF),4.3,6 Ratings,"Special Technologies:
PROFOAM: Lightweight EVA designed to cushion your landing and propel your next step
PUMAGRIP: Durable performance rubber compound designed for all-surface traction
Product Design Details:
A pair of black & White printed round toe shoes with regular styling has a lace-up closure
Textile upper
Cushioned footbed
Synthetic Outsole
Warranty: 3 months
Warranty provided by brand/manufacturer
About The Product:

Pick up the pace in Kruz Track
This running silhouette is designed specifical for kids performance needs, with adjustable closure, durability, and traction. It features ProFoam for cushioning and responsiveness, plus a sleek design that doesnt compromise on style",Running,Textile,Lace-Ups,Mid-Top,Marking,No Cleats,,Flat,Low,Road Running,,Indoor,2,,3 months,
Puma,Kids Flyer SoftFoam Running Shoes,₹2199,MRP ₹3999,(45% OFF),4.4,684 Ratings,"Special Technology:
SoftFoam: PUMA's dual-density insole provides two unique layers of cushioning for customised comfort, fit and long-lasting durability

Features:
A pair of red shoes, has regular Styling, lace-ups detail
Textile Upper
Cushioned footbed
Breathable mesh with minimal overlays to produce a lightweight feel
Heel and toe rubber for long lasting durability and traction through heel strike and toe-off
Ground contact EVA outsole provides a lightweight feel and enhanced cushioning
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand owner/Manufacturer",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Neutral,Flat,Medium,Road Running,Medium,All-Rounder,,,3 months,
Puma,ATTACANTO TT Youth Football Boots,₹2099,MRP ₹2999,(30% OFF),4.5,8 Ratings,"Product Design Details:
A pair of blue solid round toe football shoes with regular styling has a lace-up closure
Synthetic upper
Cushioned footbed
Rubber outsole
Puma Wordmark on tongue and heel
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

A simple, no-nonsense boot built to meet your demands on the pitch, the ATTACANTO is built with a soft upper for enhanced touch and ball control. The lightweight outsole will have you sprinting and changing direction with absolute ease.",Football,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Neutral,,Medium,,Medium,Turf Trainer,2,,3 months,
Puma,ATTACANTO TT Youth Football Boots,₹2099,MRP ₹2999,(30% OFF),4.5,11 Ratings,"Special Technologies:
Suitable for use on hard natural surfaces and synthetic grass., Low boot, Laces
Product Design Details:
A pair of black & blue printed round toe shoes with regular styling has a lace-up closure
Synthetic upper
Cushioned footbed
Rubber Outsole
PUMA Cat Logo branding.
Warranty: 3 months
Warranty provided by brand/manufacturer
About The Product:

A simple, no-nonsense boot built to meet your demands on the pitch, the ATTACANTO is built with a soft upper for enhanced touch and ball control. The lightweight outsole will have you sprinting and changing direction with absolute ease",Football,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Neutral,,Medium,,Medium,Turf Trainer,2,,3 months,
Skechers,Girls Solid Skech-Air Airmatic Walking Shoes,₹3571,MRP ₹3799,(6% OFF),4.5,59 Ratings,"Special Technologies:
Skechers Air-Cooled Memory Foam cushioned comfort insole
Visible Skech-Air airbag heel
Machine washable
Product Design Details:
A pair of charcoal grey walking shoes, has regular styling, velcro closure with stretchable lace-ups detail
Mesh and synthetic mixed upper
Cushioned footbed
Textured and patterned EVA outsole
Flexible traction outsole
1 1/4-inch heel
Skechers logo detail
Warranty: 3 months
Warranty to be provided by the brand/manufacturer 
About The Product:
Take a walk in airy cushioned comfort wearing Skech-Air Airmatic. This sporty pull-on style features a mesh and synthetic upper with stretch laces, adjustable instep strap, Skechers Air-Cooled Memory Foam comfort insole and a visible Skech-Air airbag heel.",Walking,Mesh,Velcro,Regular,Non-Marking,No Cleats,Neutral,Medium,Medium,,,Outdoor,,,3 months,Air Cooled Memory Foam
max,Girls Textured Slip-On Running Shoes,₹449,MRP ₹499,(10% OFF),4.4,85 Ratings,"A pair of blue textured running shoes, has regular Styling, slip-on detail
PU upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,
max,Girls Textured Slip-On Running Shoes,₹449,MRP ₹499,(10% OFF),4.4,88 Ratings,"A pair of textured running shoes, has regular Styling, slip-on detail
PU upper
Cushioned footbed
Textured and patterned outsole",Running,PU,Slip-On,Regular,Marking,No Cleats,,,Medium,,,Outdoor,2,,,
Puma,ATTACANTO FG/AG Kids Printed Football Shoes,₹2099,MRP ₹2999,(30% OFF),4.7,6 Ratings,"Product Design Details:
A pair of green & black textured round toe regular football shoes with regular styling has a lace-up closure
Synthetic upper
Cushioned footbed
TPR outsole
Warranty: 3 Months
Warranty provided by brand/manufacturer
About The Product:

A simple, no-nonsense boot built to meet your demands on the pitch, the ATTACANTO is built with a soft upper for enhanced touch and ball control. The lightweight outsole will have you sprinting and changing direction with absolute ease",Football,Synthetic,Lace-Ups,Regular,Marking,Fixed,Neutral,,Medium,,Medium,Hard,2,1 pair of sports shoes,3 months,
