Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Sport,Material,Fastening,Ankle Height,Outsole Type,Cleats,Arch Type,Cushioning,Warranty,Distance,Surface Type,Technology,Number of Items,Pronation for Running Shoes,Running Type,Package Contains
HRX by Hrithik Roshan,Women White Mesh Running Shoes,₹929,MRP ₹2999,(69% OFF),4.3,10.6k Ratings,"A pair of white,orange & yellow shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty is provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,,2,,Track,
Reebok,Women Woven Design Lux Runner Running Shoes,₹1649,MRP ₹3299,(50% OFF),4.3,235 Ratings,"Product Design Details
Main material: Synthetic upper/ EVA outsole
Brand Colour: Grey
Woven design 
Lace-up closure
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,,Neutral,,
HRX by Hrithik Roshan,Women Mesh Running Shoes,₹1079,MRP ₹3999,(73% OFF),4.1,70 Ratings,"A pair of beige running shoes, has regular styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,14 days,Medium,All-Rounder,,2,,Road Running,1 pair
Reebok,Women Woven Design Metro Inbound Slip Walking Shoes,₹2529,MRP ₹4599,(45% OFF),4.9,8 Ratings,"Special technologies
Asrofoam Plus
MemoryTech
Product Design Details
Main design: Synthetic Upper/ EVA outsole
Brand color: BLACK / POSSIBLY PINK
Lace-up Closure
Warranty: 3 months
Warranty provided by the Brand/Manufacturer",Walking,Synthetic,Slip-On,Regular,Marking,No Cleats,Flat,Medium,3 months,Medium,Court,,2,,,A pair of shoes
Campus,Women Black Mesh Running Shoes,₹839,MRP ₹1049,(20% OFF),3.7,165 Ratings,"A pair of black running shoes, has regular Styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Long,All-Rounder,,,Neutral,Road Running,
Carlton London sports,Women Mesh Flyknit Technology Sports Shoes,₹1099,MRP ₹2499,(56% OFF),4,70 Ratings,"A pair of blue shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Features : Flyknit Technology 
Warranty: 14 days
Warranty provided by brand/manufacturer ",Jogging,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,14 days,Medium,All-Rounder,Flyknit,2,Neutral,Track,
HRX by Hrithik Roshan,Women Blue Mesh Running Shoes,₹1119,MRP ₹3999,(72% OFF),4,315 Ratings,"A pair of blue shoes, has regular styling, lace-ups detail
Upper mesh
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,14 days,Medium,All-Rounder,,2,,Road Running,1 pair
Puma,Women Softride Carson Running Shoes,₹3599,MRP ₹5999,(40% OFF),4.6,14 Ratings,"Special Technology:
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
SOFTRIDE: Soft foam designed for all-day cushioning and comfort
Features:
A pair of white running shoes, has regular Styling, lace-up detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,3 months,Medium,Hard,,2,Neutral,Road Running,1 pair of sports shoes
Puma,Women Grey Supernal V3 Textile Running Shoes,₹2469,MRP ₹3799,(35% OFF),4.1,761 Ratings,"PRODUCT DESIGN DETAILS:
A pair of grey shoes, has mid-top Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
PRODUCT STORY :
Elevate, intensify the cardio drills, out run those goals, here are the perfect PUMA Shoes an all season favorite , perfect for leisure",Running,Textile,Lace-Ups,Mid-Top,Marking,No Cleats,,Medium,3 months,Long,All-Rounder,,,Neutral,Road Running,
ADIDAS,Women Ford-Up Running Shoes,₹3359,MRP ₹5599,(40% OFF),4.4,35 Ratings,"Product Design Detail:
Main material: Synthetic upper / Rubber outsole
Brand colour: Preloved Fig / Cloud White / Semi Pink Spark / Off White
Lace-up closure
Cushioned footbed
Woven design
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer

About ADIDAS Women Ford-Up Running Shoes:
The result is a comfortable and dynamic running experience, allowing athletes to push their limits with every stride. Renowned for their cutting-edge technology and meticulous design, Adidas has established itself as a leader in the world of running footwear. At the heart of Adidas running shoes is the innovative cushioning technology.",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
Puma,Women Cell Glare Textile Running Shoes,₹3574,MRP ₹5499,(35% OFF),4.4,20 Ratings,"Special Technologies
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
10CELL heel
Product Design Details
A pair of black solid running shoes, has regular styling, lace-ups detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Elevated cage design provided enhanced lockdown and bold visual
Screen print details
Heel-to-toe-drop: 8 mm
Surface: Road
Product Colour: PUMA Black-Magenta Gleam
Warranty: 3 months
Warranty provided by brand/manufacturer
About the Puma Womens' Cell Glare Running Shoes
The Cell Glare Women's Running Shoe brings the beautiful, integrated 10CELL heel to the road, offering comfort and stability through a supportive, cell-like structure. A sculpted, full-length EVA midsole provides long-lasting comfort, while the full-length rubber ousole brings all the traction you need. The upper features a bold, fast silhouette and lace-up construction. See you on the road",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,Hard,,2,Neutral,Road Running,1 pair of sports shoes
HRX by Hrithik Roshan,Women Woven Design Running Shoes,₹824,MRP ₹3299,(75% OFF),3.9,116 Ratings,"A pair of white woven design shoes, has regular styling, lace-up closure
Upper synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
Reebok,Unisex Woven Design Jogger Lite Running Shoes,₹3499,MRP ₹4999,(30% OFF),4,30 Ratings,"Product Design Details
Main design: Synthetic Upper/ Rubber outsole
Brand color: CLABUR/PUGRY2/FTWWHT
Lace-up Closure
Warranty: 3 months
Warranty provided by the Brand/Manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
HRX by Hrithik Roshan,Women Peach-Coloured & White Mesh Running Shoes,₹1332,MRP ₹4299,(69% OFF),4.3,447 Ratings,"A pair of peach-coloured & white shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Long,Indoor,,2,,,
AVANT,Women Turbulent Running Shoes,₹999,MRP ₹1399,(Rs. 400 OFF),4,32 Ratings,"A pair of white running shoes, has regular styling, lace-ups detail
Cushioned footbed
Textured and patterned outsole

Features:
KNITTED UPPER: Ensures your feet stay cool and comfortable, making them perfect for your runs.

LIGHTWEIGHT DESIGN: These running shoes are light and comfy and prioritize a feather-light build.

CUSHIONED COMFORT: Enjoy plush comfort with a PU Foam insole, responsive support from an EVA midsole

SUPERIOR TRACTION: These running shoes are made with TPR outsole, providing superior traction for stability.

FLEXIBLE DESIGN: These shoes provide a natural and flexible feel that keeps you comfortable.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Flat,Medium,30 days,Long,Outdoor,,2,Neutral,Road Running,1 pair
ADIDAS,Women Contem X Running Shoes,₹2159,MRP ₹3999,(46% OFF),4.3,95 Ratings,"PRODUCT DESIGN DETAILS :
A pair of red , black & white solid with round toe sports shoes with regular styling has a slip on closure
Mesh and textile upper
Cushioned Cloudfoam midsole
EVA outsole
Warranty: 30 days
Warranty provided by brand/manufacturer
ABOUT THE PRODUCT :
COMFORTABLE SHOES PERFECT FOR YOUR MORNING RUNS.
These women's running shoes keep you comfortable so you stay focused on your running goals. They feature a breathable mesh upper with a textile overlay that wraps around the midfoot to give you stability where you need it most.",Running,Mesh,Slip-On,Regular,Marking,No Cleats,Medium,Medium,30 days,Long,Hard,,2,Neutral,Road Running,
ABROS,Women Mesh Running Shoes,₹832,MRP ₹1699,(51% OFF),4.1,13 Ratings,"A pair of running shoes, has mid-top Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by the brand owner/manufacturer",Running,Mesh,Lace-Ups,Mid-Top,Marking,Fixed,Medium,High,30 days,Medium,All-Rounder,Air,,Neutral,Track,
Campus,Women Mesh CAMP-GLITTER Running Shoes,₹1444,MRP ₹1699,(15% OFF),4.4,292 Ratings,"A pair of blue shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
HRX by Hrithik Roshan,Women Woven Design & Textured Walking Shoes,₹811,MRP ₹2799,(71% OFF),3.3,132 Ratings,"A pair of white woven design and textured walking shoes, has regular Styling, lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Engineered with Go-Lite technology
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Walking,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
ADIDAS,Women CORERACER Running Shoes,₹3639,MRP ₹5599,(35% OFF),4.2,48 Ratings,"PRODUCT DESIGN DETAILS:
A pair of round toe black and white running shoes. has regular styling 
Lace-up detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Breathable feel
Lightweight running shoes
EVA midsole and textile lining
Rubber outsole and tech-inspired heel counter
Warranty: 3 months
Warranty provided by brand/manufacturer
ABOUT THE PRODUCT:
RUNNING SHOES BUILT FOR VERSATILE COMFORT.
On the trail or on the couch in recovery mode, you'll strike a perfect balance of comfort and style in these adidas Coreracer Shoes. They're lightweight and breathable for all-day comfort, and the adidas Badge of Sport completes the performance footwear look.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Long,Hard,,2,,Road Running,
Campus,Women Mesh Running Shoes,₹1359,MRP ₹1699,(20% OFF),4.4,299 Ratings,"A pair of shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty is provided by brand own/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
Campus,Women ELIO Mesh Memory Tech Lite Insole Running Shoes,₹1199,MRP ₹1599,(25% OFF),4.4,97 Ratings,"A pair of blue & white shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Lightweight technology  
Memory Tech Lite Insole 
Warranty: 30 days
Warranty provided by brand owner/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,2,Neutral,Road Running,
AVANT,Women Ariel Running Shoes,₹949,MRP ₹1399,(Rs. 450 OFF),4.4,40 Ratings,"A pair of white textured lace-up running shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole

Features:
KNITTED UPPER: The stretchy nature of the upper gives you a snug and flexible fit, while also keeping things breezy for a comfy stroll.
LIGHTWEIGHT DESIGN: No unnecessary bulk. Move easy, move fast down the pavement with these walk-ready shoes that prioritize a feather-light build.
LACE UP: The laces create a comprehensive and even distribution of pressure across the foot and also provides a secure and stable feel.
CUSHIONED COMFORT: Enjoy plush comfort with a PU Foam insole, responsive support from an EVA midsole.
HIGH TRACTION: These walking shoes for men are made with TPR outsole, providing superior traction for stability and durability.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Flat,Medium,30 days,Long,Outdoor,,2,Neutral,Road Running,1 pair
ADIDAS,Women Lite Racer 4.0 Running Shoes,₹3359,MRP ₹5599,(40% OFF),4.9,7 Ratings,"Special Technologies:
Cloudfoam
Product Design Detail:
Main material: Synthetic upper / Synthetic outsole
Brand colour: PRELSC/SAPIME/OWHITE
Woven design
Brand logo detail
Lace-up closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer
About ADIDAS Women Lite Racer 4.0 Running Shoes:
For lightweight comfort, look no further. These adidas sneakers keep you moving effortlessly through your routine, whether you're weaving through crowded streets or hanging out with friends. The Cloudfoam midsole cushions your step while a soft lining hugs the foot in place. The sturdy outsole stands up to daily wear, supporting you through both busy and laid-back days.This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,Cloudfoam,2,Neutral,,A pair of shoes
Sparx,Women Black Textile Running Non-Marking Shoes,₹989,MRP ₹1099,(10% OFF),4.5,235 Ratings,"A pair of black running shoes, has regular Styling, lace-ups detail
Textile upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Textile,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,30 days,Long,Outdoor,,,Neutral,Long Distance,
Reebok,Women Meet Greet Walk Sports Shoes,₹1799,MRP ₹3599,(50% OFF),4.1,22 Ratings,"PRODUCT DESIGN DETAILS:
A pair of pink textured round toe regular sports shoes with regular styling has a lace-up closure
Synthetic upper
Cushioned footbed
Rubber outsole
ABOUT THE PRODUCT:

These Walking Shoes have our soft and comfortable VENTILAR mould and offer a true fashion look without sacrificing comfort The zoned outsole pods boost traction while the outsole is made with mild training movements in mind Prepare to head outside and start walking!",Walking,Synthetic,Lace-Ups,Regular,Marking,No Cleats,,Medium,,,All-Rounder,,2,,,
HRX by Hrithik Roshan,Women Sea Green & White Memory Foam Mesh Running Shoes,₹1289,MRP ₹4299,(70% OFF),4.3,452 Ratings,"A pair of sea green & white shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Memory foam technology ",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,Memory Foam,2,,,
Campus,Women Pink Mesh Running Marking Shoes,₹1359,MRP ₹1699,(20% OFF),4.4,305 Ratings,"A pair of pink shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,30 days,Medium,All-Rounder,,,Neutral,Road Running,
HRX by Hrithik Roshan,Women Blue Flyknit Technology Running Shoes,₹1294,MRP ₹3699,(65% OFF),4.4,514 Ratings,"A pair of blue and white sports shoes, has regular styling, lace-ups detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,30 days,Long,Indoor,Flyknit,2,,Track,
Campus,Women Mesh Running Sports Shoes,₹1991,MRP ₹2399,(17% OFF),4.4,440 Ratings,"A pair of purple sports shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Disclaimer:Warranty provided by seller/manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
Campus,Mesh Lace-Up Running Shoes,₹1199,MRP ₹1599,(25% OFF),4.5,100 Ratings,"A pair of pink shoes, has regular Styling, lace-ups detail
Mesh Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand owner/manufacturer ",Running,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
HRX by Hrithik Roshan,Women Grey Textured Lace-Up Walking Shoes,₹887,MRP ₹2399,(63% OFF),4,17 Ratings,"A pair of grey textured walking shoes, has regular styling, slip-on detail
Textile upper
Cushioned footbed
Textured and patterned outsole",Walking,Textile,Slip-On,Regular,Marking,No Cleats,,Medium,,,Indoor,,2,,,1 pair of women shoes
Reebok,Women Woven Design Lux Runner Shoes,₹2339,MRP ₹3599,(35% OFF),4.7,39 Ratings,"Product Design Detail:
Main material: Synthetic upper / Rubber outsole
Brand colour: Black
Woven design
Brand logo detail
Lace-up closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer

About Reebok Women Woven Design Lux Runner Shoes:
Lux Runner W is crafted with lightweight materials, making it an ideal choice for runners seeking a featherlight feel. The shoe's lightweight construction minimizes unnecessary bulk, allowing for effortless and agile movement. Whether you're sprinting or going the distance, the lightweight design ensures optimal speed and responsiveness. Experience the perfect blend of breathability, style, and performance with the Lux Runner W.",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Flat,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
Campus,Women Pink Mesh Running Lace Up Shoes,₹1804,MRP ₹1899,(5% OFF),4.4,3.4k Ratings,"A pair of pink shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Slip-On,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
HRX by Hrithik Roshan,Women Peach-Coloured And White Memory Foam Non-Marking Running Shoes,₹1109,MRP ₹3699,(70% OFF),4.3,1.3k Ratings,"A pair of peach-coloured and white sports shoes, has regular styling, lace-up detail
Mesh upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand/manufacturer",Running,Mesh,Lace-Ups,Regular,Non-Marking,Fixed,Medium,High,30 days,Long,Indoor,Memory Foam,,,Track,
Sparx,Women SL 9047 Mesh Slip-On Running Shoes,₹1114,MRP ₹1149,(3% OFF),4.5,24 Ratings,"A pair of blue shoes, has regular Styling, slip-on detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty:NA
Warranty provided by brand owner/manufacturer",Running,Mesh,Slip-On,Regular,Marking,No Cleats,,Medium,,,All-Rounder,,2,,Long Distance,1 pair
ADIDAS,Women Woven Design Response Running Shoes,₹4939,MRP ₹7599,(35% OFF),4.2,117 Ratings,"Product Design Detail:
Main material: Textile upper / Rubber outsole
Brand colour: Core Black / Cloud White / Core Black
Woven design
Brand logo detail
Classic 3 striped detail
Lace-up closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer
About ADIDAS Women Woven Design Response Running Shoes:
Slip into these lightweight running shoes for maximum comfort whether you're navigating a busy day or logging miles on your latest jogging route. The breathable mesh upper keeps feet cool, while the EVA midsole smooths your stride from heel-strike to toe-off. Designed for your everyday run, these workhorse shoes empower you to push farther and faster. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
ADIDAS,Women White Woven Design Ligra 7 Training Shoes,₹3899,MRP ₹5999,(35% OFF),4.3,52 Ratings,"Special Technologies
Abrasion-resistant synthetic leather toe
EVA midsole cushioning
Non-marking Adiwear outsole with 360-degree grip pattern
Product Design Details
Main material: Mesh and synthetic upper/Rubber outsole
Brand color: FTWWHT/CBLACK/FTWWHT
Central lace up
Warranty: 3 months
Warranty provided by brand/manufacturer
About ADIDAS Ligra 7 Training Shoes
Created to perform on every kind of court, these adidas Ligra 7 shoes will help you improve your indoor game. When the action shifts up a gear, their breathable mesh upper will keep you comfortable and confident. The combination of a grippy multidirectional outsole and supportive overlays provide stability while you weave your magic. Synthetic leather on the toe means they'll keep coming back for more.",Training or Gym,Mesh,Lace-Ups,Regular,Non-Marking,No Cleats,Medium,Medium,3 months,,Court,,,,,
VECTOR X,Unisex DYNAMIC-2.0 Football Shoes,₹759,MRP ₹799,(5% OFF),4.2,62 Ratings,"A pair of black shoes, has regular styling, lace-ups detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Football,Synthetic,Lace-Ups,Regular,Marking,Removeable,Flat,High,,,Soft,,2,,,
Skechers,Women Go Run 400 - Action Running Shoes,₹2699,MRP ₹4499,(40% OFF),4.2,142 Ratings,"Special Technologies:
Goga Run insole provides shock absorption and support
5GEN midsole material delivers comfort and response
Sole with GOimpulse sensors for responsive traction and ground feel
Features:
A pair of teal shoes, has regular Styling
Mesh upper
lace-ups detail
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by Brand/Manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,All-Rounder,Goga Max,2,Neutral,Road Running,one
ADIDAS,Women Woven Design Puremotion 2.0 Running Shoes,₹4179,MRP ₹7599,(45% OFF),4.2,30 Ratings,"Special Technology:
Cloudfoam midsole
Product Design Detail:
Main material: Textile upper / synthetic outsole
Brand colour: Off White / Magic Beige / Matte Gold
Woven Design 
Lace up closure
Classic 3 striped detail
Brand logo detail
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by the brand owner/ manufacturer
About ADIDAS Women Woven Design Puremotion 2.0 Running Shoes:
Slip into pure comfort and style with these Puremotion 2.0 shoes from adidas. Their soft knit upper and Cloudfoam sockliner surround your feet in pillowy softness with every step. Whether strolling through the city or running errands, the Cloudfoam midsole puts a spring in your stride while providing superior cushioning for all-day comfort. This product features at least 20% recycled materials. By reusing materials that have already been created, we help to reduce waste and our reliance on finite resources and reduce the footprint of the products we make.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,Cloudfoam,2,Neutral,,A pair of sports shoes
HRX by Hrithik Roshan,Women Mesh Running Shoes,₹929,MRP ₹2999,(69% OFF),4.3,25 Ratings,"A pair of grey shoes, has regular styling, lace-ups detail
Upper mesh
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days
Warranty provided by brand manufacturer",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,,Medium,30 days,Long,Indoor,,2,,Track,1 pair of shoes
ADIDAS,Unisex Woven Design Everyset Trainer Gym or Training Shoes with Striped Detail,₹6079,MRP ₹7599,(20% OFF),4.2,65 Ratings,"Special Technologies:
Dual-density EVA midsole
Multidirectional outsole
Midfoot TPU reinforcement
Product Design Details:
Main material: Textile upper/ rubber outsole
Brand colour: Legend Ivy / Green Spark / Green Spark
Woven design
Classic 3-stripe detail
Regular fit
Lace-up closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by the brand owner/ manufacturer
About ADIDAS Unisex Woven Design Everyset Trainer Gym or Training Shoes with Striped Detail
Training is a journey. No matter where you are on yours, lace up these adidas shoes and get to it. The knit upper is soft and breathable with a snug feel. A dual-density midsole, with firmer EVA outside surrounding softer EVA inside, adds stability without sacrificing comfort. The overall shape creates a stable and grounded feeling, so you can focus on your form. Shift your weight whenever you need to -- the multidirectional rubber outsole keeps a solid grip. Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.",Training or Gym,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,1 pair of shoes
Reebok,Women Woven Design Sweep Slip On Walking Shoes,₹2599,MRP ₹3999,(35% OFF),4.6,10 Ratings,"Special Technology:
Memory Tech
Product Design Detail:
Main material: Synthetic upper / Rubber outsole
Brand colour: White
Woven design
Brand logo detail
Slip-on closure
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Flat,Medium,3 months,,Court,Memory Foam,2,Neutral,,A pair of shoes
Puma,FlexFocus Better Knit Women Running Shoes,₹2999,MRP ₹5999,(50% OFF),4.5,33 Ratings,"Special Technologies:
The upper of the shoes is made with at least 20% recycled materials and the bottom is made with at least 10% recycled materials.
Product Design Details:
A pair of pink solid round toe shoes with regular styling has a lace-up closure
Synthetic upper
Cushioned footbed
Rubber Outsole
PUMA Cat Logo branding.
Warranty: 3 months
Warranty provided by brand/manufacturer
Features:
SOFTFOAM+: Step-in comfort sockliner designed to provide soft cushioning thanks to its extra thick heel
About The Product:

This progressive runner features a knit upper on a sole that has plenty of flex grooves to support the ergonomic movements of your foot. The outsole has considered rubber zones for targeted grip, and midsole features our PUMALite foam technology, which is ultra lightweight. See you on your morning run",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,,Medium,3 months,Medium,All-Rounder,,2,Neutral,Road Running,
Campus,Women Blue & White Printed Mesh Running Shoes,₹2000,MRP ₹2299,(13% OFF),4.5,759 Ratings,"A pair of blue shoes, has regular Styling, lace-ups detail
Upper
Cushioned footbed
Textured and patterned outsole
Warranty: 30 days",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,High,30 days,Medium,All-Rounder,,,Neutral,Road Running,
ADIDAS,Women Woven Design Duramo SL Running Shoes,₹4289,MRP ₹6599,(35% OFF),4.4,82 Ratings,"Special Technologies:
Lightweight
LIGHTMOTION cushioning
Adiwear outsole
Product design details:
Main material: Mesh upper/ Rubber outsole
Brand color: Core Black / Cloud White / Carbon
Classic Adidas 3 stripe detail at upper
Lace-up closure with eyelet ends
Warranty: 3 months
Warranty provided by brand/manufacturer
About ADIDAS Women Woven Design Duramo SL Running Shoes
Feel light, fast and free. When you're ready to pick up the pace and train for courses up to 10 kilometers, these adidas running shoes support your efforts with comfort. They're light from top to bottom with a soft mono mesh upper and stable LIGHTMOTION midsole. On the track or pavement, an Adiwear outsole provides durability and grip.",Running,Mesh,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,,Court,,2,Neutral,,A pair of shoes
ADIDAS,Women ALPHAEDGE + Running Shoes,₹4899,MRP ₹6999,(30% OFF),4.5,241 Ratings,"FEATURES & BENEFITS :
Made in part with recycled materials:Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.
Bounce: Lightweight bounce cushioning provides enhanced comfort and flexibility.
Rubber outsole:A rubber outsole provides outstanding grip and a sleek, low-profile look.
Upper contains a minimum of 50% recycled content

PRODUCT DESIGN DETAILS:
A pair of white textured round toe running shoes with regular styling has a lace-up closure
Textile upper
Bounce midsole
Textile lining
Rubber outsole
Warranty: 3 months
Warranty provided by Brand Owner/Manufacturer
ABOUT THE PRODUCT:
Modern design meets classic comfort meets your new must-have. Inspired by high-performance shoes, this adidas pair goes the distance with top-notch comfort. The Bounce midsole energises every step with soft cushioning, whether you're walking the dog or running errands all day. The grippy rubber outsole gives you traction on any surface.",Running,Textile,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Long,Hard,,2,,Road Running,
Reebok,Women Woven Design Stride Walker Shoes,₹1949,MRP ₹2999,(35% OFF),4.4,33 Ratings,"Product Design Details
Main design: Synthetic Upper/ Synthetic outsole
Brand color: ASH GREY / SHOCKING ORANGE
Lace-up Closure
Warranty: 3 months
Warranty provided by the Brand/Manufacturer",Running,Synthetic,Lace-Ups,Regular,Marking,No Cleats,Medium,Medium,3 months,Medium,Court,,2,Neutral,,A pair of shoes
